qaSessionId,eventTimestampUtc,eventTimestampShanghai,eventType,activityState,appState,providerSource,sampleSource,rawOrdinal,nativeTimestampUtc,rawInterArrivalMs,acceptedInterArrivalMs,callbackDelayMs,horizontalAccuracyM,verticalAccuracyM,speedValid,speedMps,courseValid,decision,decisionReason,decisionLatencyMs,dtFromTrustedMs,displacementFromTrustedM,impliedSpeedMps,accuracyAdjustedSpeedMps,trajectoryInnovationM,headingDeltaDeg,motionState,candidateId,segmentSuffix,journalLatencyMs,commitToStoreMs,mapSourceRequestUtc,callbackToMapRequestMs,nativeToMapRequestMs,routePointCount,latestAcceptedAgeMs,notes
qa-mtvixnmb-iim3w848,2026-09-10T12:52:12.892Z,2026-09-10T20:52:12.892+08:00,activity_telemetry_health_v2,tracking,active,real,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3890,"{""reason"":""periodic-60s"",""expectedRawOrdinalHighWatermark"":37,""retainedObservationDeficit"":0,""retainedDecisionDeficit"":0,""rawPointCount"":37,""canonicalPointCount"":28,""pendingCandidate"":false,""latestAcceptedAgeMs"":3890,""backgroundTaskActive"":false,""appState"":""active"",""retainedEventCount"":211,""retainedBytes"":174460,""retainedCriticalCount"":54,""retainedObservationCount"":37,""retainedDecisionCount"":37,""uploadCount"":5,""consecutiveUploadFailures"":0,""lastUploadAt"":1789044688674}"
qa-mtvixnmb-iim3w848,2026-09-10T12:52:14.101Z,2026-09-10T20:52:14.101+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,38,2026-09-10T12:52:14.001Z,4999,4999,100,14.25,15.99,true,1.04,true,ACCEPT,coherent-motion,1,4999,5.15,1.03,0,1.02,5.28,moving,,514fdef5,,,2026-09-10T12:52:14.142Z,41,141,29,,
qa-mtvixnmb-iim3w848,2026-09-10T12:52:22.102Z,2026-09-10T20:52:22.102+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,39,2026-09-10T12:52:22.001Z,8000,8000,101,14.25,17.15,true,0.88,true,ACCEPT,coherent-motion,0,8000,5.52,0.69,0,6.81,55.21,moving,,514fdef5,,,2026-09-10T12:52:22.145Z,43,144,30,,
qa-mtvixnmb-iim3w848,2026-09-10T12:52:29.093Z,2026-09-10T20:52:29.093+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,40,2026-09-10T12:52:29.000Z,6999,6999,93,14.25,15.74,true,0.5,true,ACCEPT,coherent-motion,1,6999,5.74,0.82,0,3.01,31.66,moving,,514fdef5,,,2026-09-10T12:52:29.129Z,36,129,31,,
qa-mtvixnmb-iim3w848,2026-09-10T12:52:37.102Z,2026-09-10T20:52:37.102+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,41,2026-09-10T12:52:37.000Z,8000,8000,102,14.25,15.2,true,0.5,true,ACCEPT,coherent-motion,0,8000,5.36,0.67,0,1.69,11.72,moving,,514fdef5,,,2026-09-10T12:52:37.141Z,39,141,32,,
qa-mtvixnmb-iim3w848,2026-09-10T12:52:43.098Z,2026-09-10T20:52:43.098+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,42,2026-09-10T12:52:43.000Z,6000,6000,98,14.25,15.43,true,0.49,true,ACCEPT,coherent-motion,0,6000,5.08,0.85,0,1.8,18.53,moving,,514fdef5,35,0,2026-09-10T12:52:43.139Z,41,139,33,,
qa-mtvixnmb-iim3w848,2026-09-10T12:52:53.100Z,2026-09-10T20:52:53.100+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,43,2026-09-10T12:52:53.000Z,10000,10000,100,14.25,11.92,true,0.03,true,ACCEPT,coherent-motion,0,10000,5.27,0.53,0,13.73,179.21,moving,,514fdef5,,,2026-09-10T12:52:53.157Z,57,157,34,,
qa-mtvixnmb-iim3w848,2026-09-10T12:52:57.097Z,2026-09-10T20:52:57.097+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,44,2026-09-10T12:52:57.000Z,4000,4000,97,14.25,13.06,true,1,true,ACCEPT,coherent-motion,0,4000,5.4,1.35,0,3.3,2.69,moving,,514fdef5,,,2026-09-10T12:52:57.166Z,69,166,35,,
qa-mtvixnmb-iim3w848,2026-09-10T12:53:02.106Z,2026-09-10T20:53:02.106+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,45,2026-09-10T12:53:02.000Z,5000,5000,106,14.25,11.32,true,1.1,true,ACCEPT,coherent-motion,0,5000,5.96,1.19,0,2.07,17.37,moving,,514fdef5,,,2026-09-10T12:53:02.153Z,47,153,36,,
qa-mtvixnmb-iim3w848,2026-09-10T12:53:08.104Z,2026-09-10T20:53:08.104+08:00,cairn_raw_fix_decision,tracking,active,real,foreground,46,2026-09-10T12:53:08.000Z,6000,6000,104,14.25,15.24,true,1.34,true,ACCEPT,coherent-motion,0,6000,6.82,1.14,0,0.57,3.84,moving,,514fdef5,,,2026-09-10T12:53:08.134Z,30,134,37,,
